logFC	logCPM	LR	PValue	FDR
AT3G63350	-1.70703524349279	1.57387184794167	26.7539134236547	2.31083267259068e-07	0.00244770591693424
AT3G51680	-1.1681985099134	3.16406117918351	26.3069264327928	2.91242296864633e-07	0.00244770591693424
AT3G14540	-1.58441382658817	1.93913272599105	25.8406147420051	3.70803272118637e-07	0.00244770591693424
AT2G41450	-1.3962260865839	4.90296769121697	25.3907477775237	4.68158096274851e-07	0.00244770591693424
AT5G11140	-1.46618039531081	3.69845305744969	25.2632738471409	5.00141789599025e-07	0.00244770591693424
AT2G36950	-1.16825322542169	7.40129989215986	25.047589015313	5.59326484427217e-07	0.00244770591693424
AT5G48110	-1.56132617102394	4.85509557321369	23.9769286963722	9.74970284721928e-07	0.00365711353799195
AT3G46613	-2.08647756201087	-1.26618433631238	23.6770630262497	1.13932370682483e-06	0.00373940282126244
AT3G02480	-1.34797119340631	0.940091510092643	22.5564856818455	2.04054471768763e-06	0.00595317585025823
AT1G76640	-0.948806511822975	6.13947591808023	22.1549705694614	2.51503959319416e-06	0.00652805012613755
AT1G28660	0.936906872853804	5.19009106457367	21.9941451402012	2.73483457316194e-06	0.00652805012613755
AT5G58680	-0.831133895812234	5.48559372972014	21.2899856200186	3.94788558256341e-06	0.00847444006679661
AT2G20605	3.53342346644683	-3.85879355723449	20.893869463116	4.8544575253742e-06	0.00847444006679661
AT4G25410	-1.35376249739052	2.51853041675046	20.8884593823656	4.86818763234925e-06	0.00847444006679661
AT2G41460	-0.908090144518832	4.65229800641947	20.8853590572534	4.87607342862415e-06	0.00847444006679661
AT5G35550	3.35926660246743	-3.991551553853	20.7754781534863	5.16399592751441e-06	0.00847444006679661
AT1G58050	-2.13694858694509	-2.56874740221859	20.4925766874025	5.98629684383254e-06	0.00924601154285359
AT3G13280	-1.29032684412097	1.91575037359161	19.9580860752458	7.91584745135945e-06	0.0115470225850192
AT5G43380	-0.787464580242656	5.09947645273656	19.7977068246267	8.60858959465723e-06	0.0118966177361534
AT1G16400	1.33405314315922	1.94721153374402	19.4778682696205	1.01772054920993e-05	0.0133611442303025
AT4G21323	-1.15253372847879	2.27183373250957	19.2492409385017	1.14715979222227e-05	0.0133878754017327
AT3G24310	-1.38455535231804	2.95203349699279	19.2124370404115	1.16948975280213e-05	0.0133878754017327
AT1G32970	-0.904454152922152	4.03956607764177	19.1683303738719	1.19682628291003e-05	0.0133878754017327
AT3G17270	-3.65664220970808	-4.08404760305333	19.1017407292881	1.23931799899766e-05	0.0133878754017327
AT1G07657	-1.19593273473771	1.31580308307257	19.0480256949221	1.27469583365699e-05	0.0133878754017327
AT1G77885	-1.05963632556843	5.45923968220648	18.6379749568787	1.5804093247138e-05	0.0157097966281966
AT1G23160	-1.44489025993469	2.45587701933544	18.5961862548973	1.61543401363945e-05	0.0157097966281966
AT4G24170	-0.925425577776467	6.14789944438868	18.2619213699313	1.92517292112445e-05	0.0176346083835233
AT3G20840	-1.07796574569	2.46017038307287	18.1832293027398	2.0063784364514e-05	0.0176346083835233
AT5G37990	-0.793104467953936	5.62703727062002	18.1733224521131	2.01684266895111e-05	0.0176346083835233
AT1G27670	-1.07087201489548	2.62950889457737	18.112766670465	2.0820080736155e-05	0.0176346083835233
AT1G04720	-2.78068475730194	-3.98507177919001	17.9280841417087	2.29410800979022e-05	0.0188238731290818
AT4G37840	-2.63186200433096	-3.62993184857281	17.7569571827931	2.5099792712061e-05	0.0199710684012299
AT5G03355	0.897980863971436	2.76816858572446	17.6328186629832	2.67924728139114e-05	0.0206908811374962
AT5G20240	-1.36811162979129	6.51716066342025	17.3142389609525	3.16804073147448e-05	0.0235609594455228
AT5G51470	-1.05149658670262	2.35499240405256	17.2424769812387	3.28997666549285e-05	0.0235609594455228
AT5G65165	-1.09985654834436	1.30901977253839	17.2251674306761	3.3200879745757e-05	0.0235609594455228
AT2G27120	-1.9999778394244	-1.34732719452055	17.0669755456684	3.60843627605627e-05	0.0242337382906354
AT1G44318	-1.21201505875609	2.13504759766013	17.0354394508578	3.66886213309338e-05	0.0242337382906354
AT4G28420	-1.17153179677859	1.02810527674962	17.0236172774498	3.69177564697192e-05	0.0242337382906354
AT1G09530	0.863022472966935	5.24879813801629	16.8418182517892	4.06280995523271e-05	0.0248964118194622
AT5G26290	-0.963468345732744	4.79872507700063	16.8355275102299	4.07629917480781e-05	0.0248964118194622
AT1G69530	1.30876849633026	5.81321518182002	16.8351164776759	4.07718211614759e-05	0.0248964118194622
AT1G09110	-1.80597899145244	-2.33970052462435	16.6203138962506	4.56593569742341e-05	0.0267413150772903
AT2G40340	-0.901747924835583	4.71693114440705	16.613237327206	4.58300330760583e-05	0.0267413150772903
AT5G63350	-0.935954117972465	2.09896644313895	16.3664759979016	5.22003893405056e-05	0.0297962091937751
AT1G65390	-1.06950289335493	8.01942431313111	16.152268200839	5.84485344695614e-05	0.0320335134459967
AT5G07480	-2.90584147476722	-2.7790748968228	16.0977329420621	6.01560059902479e-05	0.0320335134459967
AT5G45870	3.00029640603553	-4.01195886895713	16.0917893043908	6.03451041640225e-05	0.0320335134459967
AT1G20470	-1.19403386553685	0.645884718671611	16.0623088505399	6.12919051006475e-05	0.0320335134459967
AT2G47770	-1.36613749378361	1.28688098749283	16.0338536178198	6.22199484231188e-05	0.0320335134459967
AT1G47130	-1.13414648283437	4.89155983782325	15.7150664525591	7.36352984629984e-05	0.0366405703578803
AT2G21820	-1.56122184878013	-0.767119830129529	15.6738328068069	7.52581959438011e-05	0.0366405703578803
AT1G73120	-1.86083315881486	3.58440476304197	15.6577579026654	7.59005867652395e-05	0.0366405703578803
AT4G18680	-2.1397577611593	-3.13520630312284	15.5420400476474	8.06906761229218e-05	0.0366405703578803
AT1G02205	-1.00580488798761	1.89300278470526	15.5281565324951	8.1285447095942e-05	0.0366405703578803
AT5G24110	-0.794967601567281	4.5780905798254	15.5264329007876	8.13595947560621e-05	0.0366405703578803
AT2G23800	-1.13199077551745	3.59995235330077	15.5182641578741	8.17119264947503e-05	0.0366405703578803
AT5G66660	-1.19722668854149	0.417692907186238	15.4750942810025	8.35995702777433e-05	0.0366405703578803
AT2G47780	-1.33560312135095	0.823090122217793	15.4203582528551	8.60561756904582e-05	0.0366405703578803
AT5G56325	-2.52040765369808	-3.70664020544197	15.4177359941108	8.61756716813348e-05	0.0366405703578803
AT2G24340	-2.35417338173428	-3.70832455155013	15.4102338562097	8.65184660162462e-05	0.0366405703578803
AT3G21750	0.841791095071728	4.49964921884141	15.3488028034068	8.93775452641556e-05	0.0372505746984275
AT2G36830	0.802255127320724	6.26543998028483	15.2983157037601	9.17983247595522e-05	0.0376616970814307
AT3G27140	-2.67425408301069	-4.05801466206149	15.1784594595084	9.78128556240979e-05	0.0395118792326452
AT2G43610	-1.01352109655242	6.92068322994436	15.029153564828	0.00010586310666469	0.0421158726014357
